application_id,customer_id,product,requested_amount,tenure_months,existing_emi,credit_score,purpose,decision_label
APP128,100107,BUSINESS,2345778,48,21370,804,HOME_RENOVATION,REJECT
APP129,100108,PERSONAL,250825,36,0,726,TRAVEL,REFER
APP130,100109,HOME,1157142,120,4822,650,HOME_RENOVATION,REJECT
APP131,100110,PERSONAL,374138,36,2000,589,HOME_RENOVATION,REJECT
APP132,100111,PERSONAL,412028,18,13391,592,INVENTORY,REJECT
APP133,100112,HOME,4862261,180,3766,809,ELECTRONICS,REFER
APP134,100113,PERSONAL,227139,24,59891,659,DEBT_CONSOLIDATION,REJECT
APP135,100114,HOME,4599697,240,9326,755,EDUCATION,APPROVE
APP136,100115,PERSONAL,120456,24,0,770,TOP_UP,REJECT
APP137,100116,PERSONAL,191253,36,37190,734,VEHICLE,REFER
APP138,100117,PERSONAL,148532,36,11763,634,HOME_RENOVATION,REJECT
APP139,100118,HOME,4185545,240,19521,802,ELECTRONICS,APPROVE
APP140,100119,PERSONAL,320149,18,33723,596,DEBT_CONSOLIDATION,REJECT
APP141,100120,BUSINESS,1345959,36,36648,779,EXPANSION,REFER
APP142,100121,BUSINESS,560708,36,62267,629,WEDDING,REJECT
APP143,100122,PERSONAL,180804,12,20345,696,MEDICAL,REFER
APP144,100123,PERSONAL,419431,18,11153,650,ELECTRONICS,REFER
APP145,100124,HOME,3118653,180,41648,742,EDUCATION,REFER
APP146,100125,PERSONAL,176845,24,21623,705,TRAVEL,REJECT
APP147,100126,HOME,1744839,180,4414,730,EXPANSION,REFER
APP148,100127,PERSONAL,230485,18,9121,794,DEBT_CONSOLIDATION,REFER
APP149,100128,PERSONAL,199458,12,83106,678,MEDICAL,REFER
APP150,100129,PERSONAL,497648,18,18645,799,WEDDING,REFER
APP151,100130,PERSONAL,405307,18,17805,648,VEHICLE,REFER
APP152,100131,HOME,3152857,120,10384,801,VEHICLE,REFER
APP153,100132,PERSONAL,298563,18,20938,745,WORKING_CAPITAL,APPROVE
APP154,100133,BUSINESS,2179535,24,2899,637,DEBT_CONSOLIDATION,REJECT
APP155,100134,BUSINESS,2188386,48,16611,762,INVENTORY,REFER
APP156,100135,PERSONAL,272196,36,7294,798,ELECTRONICS,APPROVE
APP157,100136,HOME,2056959,120,10724,699,DEBT_CONSOLIDATION,REFER
APP158,100137,BUSINESS,2228705,60,57103,729,EDUCATION,REFER
APP159,100138,PERSONAL,318180,24,52588,723,VEHICLE,REFER
APP160,100139,BUSINESS,1777270,48,105062,656,VEHICLE,REFER
APP161,100140,PERSONAL,302569,12,11213,666,DEBT_CONSOLIDATION,REFER
APP162,100141,PERSONAL,195167,24,4000,747,INVENTORY,APPROVE
APP163,100142,PERSONAL,148754,18,5291,712,WEDDING,REFER
APP164,100143,PERSONAL,472277,36,26841,749,ELECTRONICS,REFER
APP165,100144,PERSONAL,428160,12,4128,747,TOP_UP,REJECT
APP166,100145,PERSONAL,186014,36,35515,683,HOME_RENOVATION,REFER
APP167,100146,PERSONAL,355672,18,18036,667,INVENTORY,REFER
APP168,100147,PERSONAL,409828,36,39369,812,VEHICLE,APPROVE
APP169,100148,PERSONAL,315979,24,86142,796,WORKING_CAPITAL,APPROVE
APP170,100149,BUSINESS,879869,48,6526,604,TOP_UP,REJECT
APP171,100150,PERSONAL,438454,24,58171,765,EXPANSION,REFER
APP172,100151,PERSONAL,406365,24,4396,747,EDUCATION,APPROVE
APP173,100152,PERSONAL,236270,18,38538,770,DEBT_CONSOLIDATION,REFER
APP174,100153,HOME,4305490,180,2000,675,DEBT_CONSOLIDATION,REFER
APP175,100154,BUSINESS,1116669,60,18010,797,EDUCATION,REFER
APP176,100155,HOME,1225137,240,10797,729,TRAVEL,REFER
APP177,100156,BUSINESS,649350,60,6857,807,WEDDING,APPROVE
APP178,100157,BUSINESS,751272,60,25780,715,DEBT_CONSOLIDATION,REJECT
APP179,100158,HOME,1226752,120,30411,615,WEDDING,REJECT
APP180,100159,PERSONAL,264534,36,47637,616,ELECTRONICS,REJECT
